exercise,difficulty_level,target_muscle_group,primary_equipment,single_or_double_arm,continuous_or_alternating,grip,primary_exercise_classification
Double Clubbell Torch Press,Novice,Shoulders,Clubbell,Double Arm,Continuous,Neutral,Unsorted*
Barbell Conventional Deadlift,Novice,Back,Barbell,Double Arm,Continuous,Pronated,Powerlifting
Barbell Sumo Deadlift,Novice,Back,Barbell,Double Arm,Continuous,Pronated,Powerlifting
Barbell Rack Pull,Novice,Back,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Snatch Grip Deadlift,Intermediate,Back,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Alternating Double Clubbell Torch Press,Novice,Shoulders,Clubbell,Double Arm,Alternating,Neutral,Unsorted*
Stability Ball Hyperextension,Novice,Back,Stability Ball,Double Arm,Continuous,Head Supported,Unsorted*
Barbell Seated Good Morning ,Intermediate,Back,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Good Morning,Intermediate,Back,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Bodyweight Wall Sit ,Beginner,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Unsorted*
