exercise,difficulty_level,target_muscle_group,primary_equipment,single_or_double_arm,continuous_or_alternating,grip,primary_exercise_classification
Single Arm Kettlebell Half Kneeling Swing,Intermediate,Glutes,Kettlebell,Single Arm,Continuous,Pronated,Ballistics
Double Kettlebell Outside Swing,Novice,Glutes,Kettlebell,Double Arm,Continuous,Neutral,Ballistics
Double Kettlebell Outside Half Snatch,Intermediate,Glutes,Kettlebell,Double Arm,Continuous,Pronated,Ballistics
Double Kettlebell Outside Clean,Intermediate,Glutes,Kettlebell,Double Arm,Continuous,Neutral,Ballistics
Single Arm Kettlebell Side Swing,Intermediate,Abdominals,Kettlebell,Single Arm,Continuous,Pronated,Ballistics
Kettlebell Feet Elevated Russian Twist,Novice,Abdominals,Kettlebell,Double Arm,Continuous,Horn Grip,Unsorted*
Single Arm Kettlebell Half Kneeling Windmill,Intermediate,Abdominals,Kettlebell,Single Arm,Continuous,Pronated,Grinds
Double Kettlebell Front Rack Skater Squat,Expert,Quadriceps,Kettlebell,Double Arm,Continuous,Neutral,Balance
Kettlebell Horn Grip Skater Squat,Advanced,Quadriceps,Kettlebell,Double Arm,Continuous,Horn Grip,Balance
Double Kettlebell Front Rack Pistol Squat,Advanced,Quadriceps,Kettlebell,Double Arm,Continuous,Neutral,Balance
Ring Straight Arm Pike Press Handstand,Master,Shoulders,Gymnastic Rings,Double Arm,Continuous,Neutral,Calisthenics
Single Arm Kettlebell Hollow Body Hold with Flutter Kicks,Intermediate,Abdominals,Kettlebell,Single Arm,Continuous,Pronated,Unsorted*
Ring Back Lever Pullout,Master,Abdominals,Gymnastic Rings,Double Arm,Continuous,Pronated,Calisthenics
Double Kettlebell Clean to Overhead Press,Intermediate,Shoulders,Kettlebell,Double Arm,Continuous,Pronated,Ballistics
Kettlebell Alternating Halo to Goblet Squat,Intermediate,Shoulders,Kettlebell,Double Arm,Continuous,Bottoms Up Horn Grip,Unsorted*
Ring German Hang Pullout,Master,Abdominals,Gymnastic Rings,Double Arm,Continuous,Pronated,Calisthenics
Ring Dead Hang to Front Lever Pull Up,Master,Back,Gymnastic Rings,Double Arm,Continuous,Pronated,Calisthenics
Single Arm Kettlebell Side to Side Swing,Intermediate,Abdominals,Kettlebell,Single Arm,Continuous,Pronated,Ballistics
Single Arm Kettlebell Bottoms Up Turkish Get Up,Advanced,Abdominals,Kettlebell,Single Arm,Continuous,Bottoms Up,Grinds
Single Arm Kettlebell Thruster,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Pronated,Bodybuilding
Alternating Double Kettlebell Thruster,Intermediate,Quadriceps,Kettlebell,Double Arm,Alternating,Pronated,Bodybuilding
Single Arm Kettlebell Bottoms Up Clean to Overhead Press,Intermediate,Shoulders,Kettlebell,Single Arm,Continuous,Bottoms Up,Ballistics
Single Arm Kettlebell Tactical Snatch,Advanced,Glutes,Kettlebell,Single Arm,Alternating,Pronated,Ballistics
Single Arm Kettlebell Snatch to Overhead Contralateral Reverse Lunge,Advanced,Quadriceps,Kettlebell,Single Arm,Continuous,Pronated,Ballistics
Double Kettlebell Snatch to Overhead Alternating Reverse Lunge,Advanced,Quadriceps,Kettlebell,Double Arm,Continuous,Pronated,Ballistics
Single Arm Kettlebell Clean to Front Rack Contralateral Reverse Lunge,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Ballistics
Double Kettlebell Clean to Front Rack Alternating Reverse Lunge,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Neutral,Ballistics
Ring Full Front Lever Pull Up,Master,Back,Gymnastic Rings,Double Arm,Continuous,Pronated,Calisthenics
Single Arm Kettlebell Split Jerk,Intermediate,Shoulders,Kettlebell,Single Arm,Continuous,Pronated,Unsorted*
Parallette Stalder Press to Handstand,Master,Shoulders,Parallette Bars,Double Arm,Continuous,Neutral,Calisthenics
Double Kettlebell Bottoms Up Clean to Front Rack Squat,Advanced,Glutes,Kettlebell,Double Arm,Continuous,Bottoms Up,Ballistics
Single Arm Ring Chin Up,Master,Biceps,Gymnastic Rings,Single Arm,Continuous,Supinated,Calisthenics
Double Kettlebell Bottoms Up Overhead Squat,Advanced,Quadriceps,Kettlebell,Double Arm,Continuous,Bottoms Up,Unsorted*
Double Kettlebell Bottoms Up Thruster,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Ring Iron Cross,Master,Back,Gymnastic Rings,Double Arm,Continuous,Pronated,Calisthenics
Parallette Full Planche Push Up,Master,Chest,Parallette Bars,Double Arm,Continuous,Neutral,Calisthenics
Parallette Straddle Planche Push Up,Master,Chest,Parallette Bars,Double Arm,Continuous,Neutral,Calisthenics
Bar Dead Hang to Front Lever Pull Up,Master,Back,Pull Up Bar,Double Arm,Continuous,Pronated,Calisthenics
Bar Full Front Lever Pull Up,Master,Back,Pull Up Bar,Double Arm,Continuous,Pronated,Calisthenics
Barbell Overhead Bulgarian Split Squat ,Advanced,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Bulgarian Split Squat Thruster,Advanced,Shoulders,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Single Arm Barbell Overhead Bulgarian Split Squat ,Expert,Quadriceps,Barbell,Single Arm,Continuous,Pronated,Bodybuilding
Bodyweight Full Planche Push Up,Master,Chest,Bodyweight,Double Arm,Continuous,Flat Palm,Calisthenics
Bodyweight Straddle Planche Push Up,Master,Chest,Bodyweight,Double Arm,Continuous,Flat Palm,Calisthenics
Ring Grip Full Planche Push Up,Legendary,Chest,Gymnastic Rings,Double Arm,Continuous,Neutral,Calisthenics
Bodyweight Two Finger Full Planche Push Up,Legendary,Chest,Bodyweight,Double Arm,Continuous,Fingertip,Calisthenics
Ring Grip Straddle Planche Push Up,Legendary,Chest,Gymnastic Rings,Double Arm,Continuous,Neutral,Calisthenics
Bodyweight Push Up to Alternating Kick Through,Intermediate,Chest,Bodyweight,Double Arm,Alternating,Flat Palm,Animal Flow
Bodyweight Standing Walkout Push Up ,Intermediate,Chest,Bodyweight,Double Arm,Alternating,Flat Palm,Unsorted*
Ring Pull Up,Intermediate,Back,Gymnastic Rings,Double Arm,Continuous,Pronated,Calisthenics
Single Arm Plate Windmill,Advanced,Abdominals,Weight Plate,Single Arm,Continuous,Flat Palm,Grinds
Single Arm Plate Turkish Get Up,Advanced,Abdominals,Weight Plate,Single Arm,Continuous,Flat Palm,Grinds
Bodyweight Pike Push Up,Intermediate,Shoulders,Bodyweight,Double Arm,Continuous,Flat Palm,Calisthenics
Parallette Feet Elevated Pike Push Up ,Intermediate,Shoulders,Parallette Bars,Double Arm,Continuous,Neutral,Calisthenics
Barbell Sots Press,Intermediate,Shoulders,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Double Kettlebell Bottoms Up Snatch,Advanced,Glutes,Kettlebell,Double Arm,Continuous,Bottoms Up,Ballistics
Alternating Single Arm Kettlebell Bottoms Up Snatch,Advanced,Glutes,Kettlebell,Single Arm,Alternating,Bottoms Up,Ballistics
Alternating Single Arm Kettlebell Around the World High Catch,Intermediate,Abdominals,Kettlebell,Single Arm,Alternating,Pronated,Unsorted*
Alternating Single Arm Kettlebell Tall Kneeling Around the World High Catch,Intermediate,Abdominals,Kettlebell,Single Arm,Alternating,Pronated,Unsorted*
Single Arm Kettlebell Around the World,Novice,Abdominals,Kettlebell,Single Arm,Continuous,Pronated,Unsorted*
Single Arm Dumbbell V Sit Overhead Press ,Intermediate,Shoulders,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Z Press,Intermediate,Shoulders,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Parallette Feet Elevated Push Up,Intermediate,Chest,Parallette Bars,Double Arm,Continuous,Neutral,Calisthenics
Stability Ball Feet Elevated Diamond Push Up,Intermediate,Triceps,Stability Ball,Double Arm,Continuous,Flat Palm,Unsorted*
Bodyweight Tricep Extension,Intermediate,Triceps,Bodyweight,Double Arm,Continuous,Forearm,Calisthenics
Alternating Single Arm Kettlebell Around the World,Novice,Abdominals,Kettlebell,Single Arm,Alternating,Pronated,Unsorted*
Single Arm Kettlebell Tall Kneeling Around the World,Novice,Abdominals,Kettlebell,Single Arm,Continuous,Pronated,Unsorted*
Alternating Single Arm Tall Kneeling Around the World,Novice,Abdominals,Kettlebell,Single Arm,Alternating,Pronated,Unsorted*
Single Arm Kettlebell Waiter Clean,Advanced,Glutes,Kettlebell,Single Arm,Continuous,Waiter Hold,Ballistics
Single Arm Kettlebell Waiter Clean Hot Potato,Advanced,Glutes,Kettlebell,Single Arm,Alternating,Waiter Hold,Ballistics
Alternating Single Arm Kettlebell Waiter Clean,Advanced,Glutes,Kettlebell,Single Arm,Alternating,Waiter Hold,Ballistics
Double Kettlebell Waiter Clean,Advanced,Glutes,Kettlebell,Double Arm,Continuous,Waiter Hold,Ballistics
Double Kettlebell Waiter Clean to Overhead Press,Advanced,Glutes,Kettlebell,Double Arm,Continuous,Waiter Hold,Ballistics
Single Arm Kettlebell Tactical Waiter Clean,Advanced,Glutes,Kettlebell,Single Arm,Alternating,Waiter Hold,Ballistics
Double Kettlebell Waiter Clean to Alternating Overhead Press,Advanced,Glutes,Kettlebell,Double Arm,Alternating,Waiter Hold,Ballistics
Single Arm Kettlebell Waiter Snatch,Advanced,Glutes,Kettlebell,Single Arm,Continuous,Waiter Hold,Ballistics
Alternating Single Arm Kettlebell Waiter Snatch,Advanced,Glutes,Kettlebell,Single Arm,Alternating,Waiter Hold,Ballistics
Barbell Overhead Pistol Squat,Expert,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Balance
Barbell Seated Wrist Curl,Intermediate,Forearms,Barbell,Double Arm,Continuous,Supinated,Unsorted*
Single Arm Dumbbell Hollow Body Chest Press,Intermediate,Chest,Dumbbell,Single Arm,Continuous,Pronated,Bodybuilding
Single Arm Kettlebell Tactical Waiter Snatch,Advanced,Glutes,Kettlebell,Single Arm,Alternating,Waiter Hold,Ballistics
Single Arm Barbell Overhead Knee Over Toe Split Squat,Expert,Quadriceps,Barbell,Single Arm,Continuous,Pronated,Bodybuilding
Single Arm Barbell Knee Over Toe Split Squat Thruster,Expert,Shoulders,Barbell,Single Arm,Continuous,Pronated,Bodybuilding
Barbell Knee Over Toe Split Squat Thruster,Advanced,Shoulders,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Double Kettlebell Waiter Snatch,Advanced,Glutes,Kettlebell,Double Arm,Continuous,Waiter Hold,Ballistics
Double Kettlebell Waiter Clean to Thruster,Advanced,Shoulders,Kettlebell,Double Arm,Continuous,Waiter Hold,Ballistics
Kettlebell Start Stop Swing,Novice,Glutes,Kettlebell,Double Arm,Continuous,Pronated,Ballistics
Double Kettlebell Dead Clean,Intermediate,Glutes,Kettlebell,Double Arm,Continuous,Neutral,Ballistics
Single Arm Barbell Bulgarian Split Squat Thruster,Expert,Shoulders,Barbell,Single Arm,Continuous,Pronated,Bodybuilding
Single Arm Barbell Windmill,Expert,Abdominals,Barbell,Single Arm,Continuous,Pronated,Grinds
Bodyweight Windmill,Novice,Abdominals,Bodyweight,Double Arm,Continuous,No Grip,Grinds
Superband Split Squat Isometric Pallof Press,Intermediate,Abdominals,Superband,Double Arm,Continuous,Neutral,Balance
Single Arm Barbell Turkish Get Up,Expert,Abdominals,Barbell,Single Arm,Continuous,Pronated,Grinds
Bodyweight Plate Plyometric Push Up,Intermediate,Chest,Bodyweight,Double Arm,Continuous,Flat Palm,Plyometric
Single Arm Dumbbell Single Leg Contralateral Bent Over Row,Intermediate,Back,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Single Leg Bent Over Row,Intermediate,Back,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Bottoms Up Thruster,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Alternating Double Kettlebell Bottoms Up Thruster,Intermediate,Quadriceps,Kettlebell,Double Arm,Alternating,Bottoms Up,Bodybuilding
Single Arm Kettlebell Dead Clean,Intermediate,Glutes,Kettlebell,Single Arm,Continuous,Neutral,Ballistics
Alternating Single Arm Kettlebell Dead Clean,Intermediate,Glutes,Kettlebell,Single Arm,Alternating,Neutral,Ballistics
Single Arm Dumbbell Bird Dog Row,Intermediate,Back,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Bottoms Up Half Kneeling Windmill,Advanced,Abdominals,Kettlebell,Single Arm,Continuous,Bottoms Up,Grinds
Alternating Single Arm Kettlebell Half Kneeling Around the World High Catch,Intermediate,Abdominals,Kettlebell,Single Arm,Alternating,Pronated,Unsorted*
Double Dumbbell Renegade Row ,Intermediate,Back,Dumbbell,Double Arm,Alternating,Neutral,Bodybuilding
Single Arm Barbell Overhead Toe Balance Squat,Expert,Quadriceps,Barbell,Single Arm,Continuous,Pronated,Balance
Barbell Overhead Toe Balance Squat,Advanced,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Balance
Ring Kneeling Rollout,Intermediate,Abdominals,Gymnastic Rings,Double Arm,Continuous,Pronated,Calisthenics
Single Arm Ring Kneeling Rollout,Advanced,Abdominals,Gymnastic Rings,Single Arm,Continuous,Pronated,Calisthenics
Ring Standing Rollout,Advanced,Abdominals,Gymnastic Rings,Double Arm,Continuous,Pronated,Calisthenics
Single Arm Landmine Shoulder Press,Intermediate,Shoulders,Landmine,Single Arm,Continuous,Neutral,Unsorted*
Alternating Single Arm Landmine Shoulder Press,Intermediate,Shoulders,Landmine,Single Arm,Alternating,Neutral,Unsorted*
Single Arm Kettlebell Bent Press,Intermediate,Shoulders,Kettlebell,Single Arm,Continuous,Pronated,Grinds
Alternating Single Arm Kettlebell Around the World High Catch to Squat,Intermediate,Abdominals,Kettlebell,Single Arm,Alternating,Pronated,Unsorted*
Double Kettlebell Overhead Alternating Cossack Squat,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Pronated,Bodybuilding
Double Kettlebell Front Rack Cossack Squat,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Front Rack Low Switch Cossack Squat,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Alternating Single Arm Kettlebell Bottoms Up Clean to Overhead Press,Intermediate,Shoulders,Kettlebell,Single Arm,Alternating,Bottoms Up,Ballistics
Double Kettlebell Bottoms Up Clean to Overhead Press,Intermediate,Shoulders,Kettlebell,Double Arm,Continuous,Bottoms Up,Ballistics
Double Kettlebell Bottoms Up Overhead Knee Over Toe Split Squat,Advanced,Quadriceps,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Landmine Half Kneeling Contralateral Shoulder Press,Intermediate,Shoulders,Landmine,Single Arm,Continuous,Neutral,Unsorted*
Bodyweight Bulgarian Split Squat,Novice,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Bodybuilding
Plate Otis Up,Novice,Abdominals,Weight Plate,Double Arm,Continuous,Neutral,Unsorted*
Double Kettlebell Overhead Pistol Squat,Expert,Quadriceps,Kettlebell,Double Arm,Continuous,Pronated,Balance
Double Kettlebell Bottoms Up Front Rack Pistol Squat,Expert,Quadriceps,Kettlebell,Double Arm,Continuous,Bottoms Up,Balance
Double Kettlebell Bottoms Up Overhead Pistol Squat,Expert,Quadriceps,Kettlebell,Double Arm,Continuous,Bottoms Up,Balance
Double Kettlebell Clean to Sots Press,Intermediate,Shoulders,Kettlebell,Double Arm,Continuous,Pronated,Ballistics
Double Kettlebell Bottoms Up Clean to Sots Press,Advanced,Shoulders,Kettlebell,Double Arm,Continuous,Bottoms Up,Ballistics
Single Arm Landmine Tall Kneeling Shoulder Press,Intermediate,Shoulders,Landmine,Single Arm,Continuous,Neutral,Unsorted*
Single Arm Landmine Z Press,Intermediate,Shoulders,Landmine,Single Arm,Continuous,Neutral,Bodybuilding
Barbell Z Press,Intermediate,Shoulders,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Single Arm Suspension Bicep Curl,Intermediate,Biceps,Suspension Trainer,Single Arm,Continuous,Supinated,Unsorted*
Suspension Atomic Push Up,Intermediate,Chest,Suspension Trainer,Double Arm,Continuous,Flat Palm,Unsorted*
Parallette Feet Elevated Close Grip Push Up,Intermediate,Triceps,Parallette Bars,Double Arm,Continuous,Pronated,Calisthenics
Double Kettlebell Clean to Thruster,Intermediate,Shoulders,Kettlebell,Double Arm,Continuous,Pronated,Unsorted*
Bodyweight Archer Push Up,Intermediate,Chest,Bodyweight,Double Arm,Alternating,Flat Palm,Calisthenics
Parallette Archer Push Up,Intermediate,Chest,Parallette Bars,Double Arm,Alternating,Neutral,Calisthenics
Single Arm Suspension Push Up,Intermediate,Chest,Suspension Trainer,Single Arm,Continuous,Pronated,Unsorted*
Ring Skin the Cat,Intermediate,Shoulders,Gymnastic Rings,Double Arm,Continuous,Pronated,Calisthenics
Double Kettlebell Bottoms Up Overhead Bulgarian Split Squat,Advanced,Quadriceps,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Contralateral Bulgarian Split Squat,Advanced,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Suitcase Contralateral Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Suitcase Ipsilateral Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Double Kettlebell Suitcase Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Bulgarian Split Squat Thruster ,Advanced,Shoulders,Kettlebell,Double Arm,Continuous,Pronated,Bodybuilding
Double Kettlebell Bottoms Up Bulgarian Split Squat Thruster,Advanced,Shoulders,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Front Rack Contralateral Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Ring Feet Elevated Row,Intermediate,Back,Gymnastic Rings,Double Arm,Continuous,Neutral,Calisthenics
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Ring Feet Elevated Bulgarian Row,Intermediate,Back,Gymnastic Rings,Double Arm,Continuous,Pronated,Calisthenics
Ring Feet Elevated Archer Row,Intermediate,Back,Gymnastic Rings,Double Arm,Alternating,Neutral,Calisthenics
Ring Push Up,Intermediate,Chest,Gymnastic Rings,Double Arm,Continuous,Neutral,Calisthenics
Ring Chest Fly,Intermediate,Chest,Gymnastic Rings,Double Arm,Continuous,Neutral,Unsorted*
Double Kettlebell Feet Elevated Push Up,Intermediate,Chest,Kettlebell,Double Arm,Continuous,Neutral,Calisthenics
Single Arm Kettlebell Bottoms Up Half Kneeling Contralateral Overhead Press,Intermediate,Shoulders,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Parallette Alternating Shoulder Tap Push Up,Intermediate,Chest,Parallette Bars,Double Arm,Alternating,Neutral,Calisthenics
Parallette Dive Bomber Push Up,Intermediate,Chest,Parallette Bars,Double Arm,Continuous,Neutral,Calisthenics
Barbell Front Rack Bulgarian Split Squat,Intermediate,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Back Rack Bulgarian Split Squat,Intermediate,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Single Arm Suspension Contralateral Pistol Squat,Advanced,Quadriceps,Suspension Trainer,Single Arm,Continuous,Neutral,Balance
Barbell Front Rack Alternating Curtsy Lunge,Intermediate,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Bodyweight Dragon Flag,Advanced,Abdominals,Bodyweight,Double Arm,Continuous,Pronated,Calisthenics
Single Arm Kettlebell Front Rack Ipsilateral Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Bodyweight Dive Bomber Push Up,Intermediate,Chest,Bodyweight,Double Arm,Continuous,Flat Palm,Calisthenics
Barbell Staggered Stance Push Press,Intermediate,Shoulders,Barbell,Double Arm,Continuous,Pronated,Unsorted*
Parallette Full Planche,Expert,Abdominals,Parallette Bars,Double Arm,Continuous,Neutral,Calisthenics
Double Dumbbell Renegade Row to Push Up,Intermediate,Back,Dumbbell,Double Arm,Alternating,Neutral,Bodybuilding
Ring Inverted Iron Cross,Grand Master,Back,Gymnastic Rings,Double Arm,Continuous,Neutral,Calisthenics
